City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
8,Kavaratti,IN,79.7,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
9,Mar Del Plata,AR,80.1,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
13,Rikitea,PF,78.44,overcast clouds,-23.1203,-134.9692,People ThankYou
15,Vaini,TO,80.87,broken clouds,-21.2,-175.2,Keleti Beach Resort
26,Mahibadhoo,MV,80.51,overcast clouds,3.7833,72.9667,Omadhoo Inn
27,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Faanui,PF,80.89,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
31,Lorengau,PG,80.62,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
37,Poum,NC,81.77,scattered clouds,-20.2333,164.0167,Gîte kajeon
38,Bambous Virieux,MU,82.65,light rain,-20.3428,57.7575,Casa Tia Villa
40,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
41,Butaritari,KI,81.16,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
44,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
45,Hithadhoo,MV,80.71,overcast clouds,-0.6,73.0833,Scoop Guest House
49,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
67,Kapaa,US,81.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
74,Rawson,AR,80.31,clear sky,-43.3002,-65.1023,Hosteria Sampedro
75,Puerto Escondido,MX,83.23,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
90,Cobija,BO,82.58,thunderstorm,-11.0267,-68.7692,Hotel Obelisco
91,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
93,Cidreira,BR,78.8,clear sky,-30.1811,-50.2056,Hotel Castelo
94,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
95,Tual,ID,82.38,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
96,Kribi,CM,80.13,overcast clouds,2.95,9.9167,La Grace Hôtel
103,Porto Novo,BJ,80.42,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
105,Harper,LR,78.89,clear sky,4.375,-7.7169,Screensaver
106,Adelaide,AU,78.85,light rain,-34.9333,138.6,The Chancellor on Currie
107,Todos Santos,MX,78.12,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
112,Kloulklubed,PW,81.12,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
113,Navolato,MX,82.63,clear sky,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
128,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
130,Comodoro Rivadavia,AR,82.26,broken clouds,-45.8667,-67.5,Austral Hotel
136,Kismayo,SO,79.0,overcast clouds,-0.3582,42.5454,Agan-Hotel
137,Hilo,US,79.79,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
152,Souillac,MU,82.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
155,Avarua,CK,80.65,moderate rain,-21.2078,-159.775,Paradise Inn
156,Sao Gabriel Da Cachoeira,BR,78.94,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
167,Trelew,AR,83.16,clear sky,-43.249,-65.3051,Hotel Touring Club
172,Atuona,PF,78.93,few clouds,-9.8,-139.0333,Villa Enata
178,Belmonte,BR,81.1,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
190,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
196,Fare,PF,80.28,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
198,Thinadhoo,MV,81.45,broken clouds,0.5333,72.9333,
219,Namatanai,PG,80.76,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
221,Vao,NC,78.28,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
226,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
235,Sao Joao Da Barra,BR,82.49,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
237,Aquiraz,BR,82.49,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
249,Chuy,UY,80.04,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
254,Conselheiro Pena,BR,81.48,scattered clouds,-19.1722,-41.4722,Hotel Bela Adormecida
273,Kavieng,PG,82.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
282,Humberto De Campos,BR,80.49,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
283,Geraldton,AU,82.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
290,Saint-Leu,RE,79.66,few clouds,-21.15,55.2833,La Caz Oceane
294,Bonthe,SL,78.51,clear sky,7.5264,-12.505,Bonthe Holiday Village
296,El Limon,VE,78.22,broken clouds,10.3059,-67.6321,Campamento Valle Beraca
300,Voh,NC,81.14,clear sky,-20.9667,164.7,Le gîte du Koniambo
304,Tingo Maria,PE,82.83,scattered clouds,-9.2895,-76.0088,Hospedaje Paraíso
