City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vila Franca Do Campo,PT,2022-01-21 21:24:56,broken clouds,37.7167,-25.4333,61.21,76,83,14.18
1,Carnarvon,AU,2022-01-21 21:24:56,broken clouds,-24.8667,113.6333,78.87,61,55,11.5
2,Half Moon Bay,US,2022-01-21 21:24:56,clear sky,37.4636,-122.4286,68.81,33,0,12.66
3,Bluff,NZ,2022-01-21 21:24:56,overcast clouds,-46.6,168.3333,57.79,75,99,17.6
4,Mount Gambier,AU,2022-01-21 21:24:57,overcast clouds,-37.8333,140.7667,67.91,56,94,5.75
5,Yellowknife,CA,2022-01-21 21:24:42,few clouds,62.456,-114.3525,-17.72,68,20,5.75
6,Albany,US,2022-01-21 21:22:45,clear sky,42.6001,-73.9662,16.81,49,6,5.7
7,Russellville,US,2022-01-21 21:24:57,clear sky,35.2784,-93.1338,34.21,34,0,5.75
8,Kavaratti,IN,2022-01-21 21:24:57,overcast clouds,10.5669,72.642,79.7,71,89,12.82
9,Mar Del Plata,AR,2022-01-21 21:20:28,light rain,-38.0023,-57.5575,80.1,89,100,7.0
10,La Baule-Escoublac,FR,2022-01-21 21:24:57,clear sky,47.2922,-2.364,41.0,90,0,3.44
11,Cape Town,ZA,2022-01-21 21:22:39,clear sky,-33.9258,18.4232,75.11,64,0,1.01
12,Leonforte,IT,2022-01-21 21:24:58,broken clouds,37.6443,14.4007,43.09,84,84,6.87
13,Rikitea,PF,2022-01-21 21:22:47,overcast clouds,-23.1203,-134.9692,78.44,74,100,8.84
14,Ushuaia,AR,2022-01-21 21:22:46,broken clouds,-54.8,-68.3,65.82,51,75,11.5
15,Vaini,TO,2022-01-21 21:24:58,broken clouds,-21.2,-175.2,80.87,71,66,15.19
16,Clyde River,CA,2022-01-21 21:24:58,broken clouds,70.4692,-68.5914,-10.97,70,75,4.61
17,Tahta,EG,2022-01-21 21:24:58,clear sky,26.7693,31.5021,49.41,40,0,7.0
18,New Norfolk,AU,2022-01-21 21:24:59,clear sky,-42.7826,147.0587,67.75,64,0,2.8
19,Mataura,NZ,2022-01-21 21:24:59,overcast clouds,-46.1927,168.8643,57.47,72,92,6.58
20,Changying,CN,2022-01-21 21:25:00,few clouds,52.8733,123.3213,-15.09,98,22,3.62
21,Tulcea,RO,2022-01-21 21:25:00,clear sky,45.1667,28.8,24.98,86,5,3.44
22,Lebu,CL,2022-01-21 21:25:00,clear sky,-37.6167,-73.65,62.24,63,0,8.19
23,Port Alfred,ZA,2022-01-21 21:25:01,few clouds,-33.5906,26.891,74.91,88,15,13.65
24,Talcahuano,CL,2022-01-21 21:25:01,clear sky,-36.7167,-73.1167,65.88,59,0,14.97
25,Tukrah,LY,2022-01-21 21:25:01,few clouds,32.5341,20.5791,56.34,68,16,12.19
26,Mahibadhoo,MV,2022-01-21 21:21:15,overcast clouds,3.7833,72.9667,80.51,71,97,7.9
27,Puerto Ayora,EC,2022-01-21 21:25:02,scattered clouds,-0.7393,-90.3518,82.36,79,45,8.16
28,Bethel,US,2022-01-21 21:25:02,clear sky,41.3712,-73.414,22.57,52,0,5.75
29,Port Elizabeth,ZA,2022-01-21 21:23:24,broken clouds,-33.918,25.5701,76.1,85,61,7.54
30,Faanui,PF,2022-01-21 21:25:02,light rain,-16.4833,-151.75,80.89,76,100,14.27
31,Lorengau,PG,2022-01-21 21:25:03,overcast clouds,-2.0226,147.2712,80.62,83,96,6.31
32,Castro,BR,2022-01-21 21:22:47,scattered clouds,-24.7911,-50.0119,73.9,78,41,3.76
33,Esperance,AU,2022-01-21 21:25:03,overcast clouds,-33.8667,121.9,66.04,82,95,7.09
34,Urumqi,CN,2022-01-21 21:22:04,mist,43.801,87.6005,18.55,93,75,2.24
35,Komsomolskiy,UZ,2022-01-21 21:25:03,overcast clouds,40.4272,71.7189,35.02,74,100,11.5
36,Leningradskiy,RU,2022-01-21 21:25:04,clear sky,69.3833,178.4167,-29.16,87,4,1.68
37,Poum,NC,2022-01-21 21:25:04,scattered clouds,-20.2333,164.0167,81.77,77,43,13.0
38,Bambous Virieux,MU,2022-01-21 21:25:04,light rain,-20.3428,57.7575,82.65,89,40,18.41
39,Adrar,MR,2022-01-21 21:25:04,overcast clouds,20.5022,-10.0711,70.2,22,92,11.59
40,Arraial Do Cabo,BR,2022-01-21 21:25:05,clear sky,-22.9661,-42.0278,80.56,74,0,14.97
41,Butaritari,KI,2022-01-21 21:25:05,overcast clouds,3.0707,172.7902,81.16,70,99,13.18
42,Saskylakh,RU,2022-01-21 21:22:47,overcast clouds,71.9167,114.0833,4.42,94,100,7.74
43,Ribeira Grande,PT,2022-01-21 21:25:05,few clouds,38.5167,-28.7,61.2,77,20,16.11
44,Cabedelo,BR,2022-01-21 21:25:35,clear sky,-6.9811,-34.8339,81.27,70,0,11.34
45,Hithadhoo,MV,2022-01-21 21:25:36,overcast clouds,-0.6,73.0833,80.71,75,94,13.91
46,Chokurdakh,RU,2022-01-21 21:25:36,overcast clouds,70.6333,147.9167,-40.54,100,95,5.23
47,Severo-Kurilsk,RU,2022-01-21 21:23:58,overcast clouds,50.6789,156.125,28.49,82,97,8.77
48,Perry,US,2022-01-21 21:25:22,overcast clouds,37.2506,-83.1999,27.12,71,100,7.76
49,Saint-Philippe,RE,2022-01-21 21:25:36,light rain,-21.3585,55.7679,80.19,87,62,17.36
50,Hermanus,ZA,2022-01-21 21:25:36,clear sky,-34.4187,19.2345,72.81,84,3,16.06
51,Almaznyy,RU,2022-01-21 21:25:37,overcast clouds,48.0448,40.045,30.34,96,100,5.77
52,Palembang,ID,2022-01-21 21:25:37,scattered clouds,-2.9167,104.7458,77.09,94,40,0.0
53,Yanam,IN,2022-01-21 21:25:37,few clouds,16.7333,82.2167,67.08,97,12,3.94
54,Carballo,ES,2022-01-21 21:23:56,clear sky,43.213,-8.691,48.0,66,0,9.4
55,Coihaique,CL,2022-01-21 21:22:54,broken clouds,-45.5752,-72.0662,62.55,51,75,6.91
56,Gat,IL,2022-01-21 21:23:05,broken clouds,31.61,34.7642,51.4,64,74,1.5
57,Hobart,AU,2022-01-21 21:22:44,few clouds,-42.8794,147.3294,68.11,84,20,1.01
58,Malanje,AO,2022-01-21 21:25:38,broken clouds,-9.5402,16.341,62.28,79,80,2.75
59,Iqaluit,CA,2022-01-21 21:25:38,broken clouds,63.7506,-68.5145,-24.07,76,75,2.3
60,Tasiilaq,GL,2022-01-21 21:25:38,broken clouds,65.6145,-37.6368,15.96,62,82,8.41
61,Shorkot,PK,2022-01-21 21:25:38,overcast clouds,31.9099,70.8774,52.66,88,100,10.13
